,fuel_cell,demand,Solar,Wind,off_wind,ESS,sess
1,1.5161003677526477,62.84332991066549,0.0,2.952735913558975,6.938360969806934,0.0,0.0
2,1.4458521833343991,59.93149773720249,0.0,3.078067041178362,7.360877378423471,0.0,0.0
3,1.3916131883046936,57.68325670305029,0.0,3.2032197348455083,7.664332481033308,0.0,0.0
4,1.3704366496208895,56.80547563051817,0.0,3.313502807094529,7.951057339302753,0.7945671352546892,0.0
5,1.3658990010248973,56.61738719402546,0.0,3.3095788477955375,7.995711801927544,1.9396732959048293,0.0
6,1.3769117900664065,57.07387434335451,0.0,3.247506729605634,7.711404803328231,2.270900509424218,0.0
7,1.3821097791607897,57.28933431584602,0.0,2.95758500631825,6.85150848014086,1.3744224700844643,0.0
8,1.3610164962070244,56.41500424657269,0.14694244628050546,2.594411314434454,5.815723571633769,0.20043938189814942,0.0
9,1.3392174413285787,55.511419479623825,4.448728681361492,1.9951823205862658,4.886204552215887,0.0,0.0
10,1.3255231415912005,54.94378199691069,11.193662944962696,1.6065235511635,4.185596069339838,0.6063459294769938,0.0
11,1.325504546402764,54.94301121445688,16.741929045130682,2.2168750841854217,3.7683852030916904,3.703920545759086,0.0
12,1.3151364609966478,54.51324744315436,20.311478825243864,2.3538257292243507,3.5769351228311885,6.78910486357605,0.0
13,1.3041078237831796,54.05610337696144,21.432206461591186,2.4363449302563027,3.539950380312845,9.861948444121746,0.0
14,1.3053031985669876,54.10565242628797,20.06481270778805,2.4461183118191836,3.4897958184671194,12.922500650345258,0.0
15,1.3020175555559468,53.9694604220491,16.42788465295172,2.328457553839865,3.1200689511062016,15.970810647743876,0.33859145893130915
16,1.2963952580709155,53.7364125953861,10.636455196722022,2.1559889048423417,2.742562821114252,18.47,0.3372370930955839
17,1.3033528168709378,54.02480785756177,4.223282236624437,1.895936945488582,2.5130832793636726,18.346126544491504,0.33588814472320155
18,1.3647179952503325,56.5684337493222,0.1849112986208741,1.7449772864985262,2.5806411009877377,15.24834039211483,0.3345445921443087
19,1.4073903604557214,58.33723057947254,0.0,1.6090154486845785,2.909097369350916,12.14834039211483,0.24758477268496637
20,1.4050163042959014,58.238824433249405,0.0,1.5186410515197042,3.159320161933206,9.241576187667853,0.2465944335942265
21,1.4013112130002814,58.08524602934405,0.0,1.4139944053926077,3.134885453465739,6.385203449802804,0.24560805585984957
22,1.4047872453838175,58.22932979484206,0.0,1.377924317670359,2.943461158845962,3.392364973689021,0.0
23,1.4433008389575699,59.82574288099434,0.0,1.3515336486515617,2.718281440883606,1.6431227460721682,0.0
24,1.4694864565259769,60.91115347699941,0.0,1.3424465400721117,2.5116956560444317,0.0,0.0
25,1.3996091193316254,58.01469315815336,0.0,1.4896237953540412,2.5228789684521913,0.0,0.0
26,1.3461519674520153,55.79886002262379,0.0,1.6657327156692794,2.6576757713649175,0.0978269241349022,0.0
27,1.32943764006567,55.106040462311974,0.0,1.7905913172772345,2.7925319324319653,0.20733608906658021,0.0
28,1.3144120938835304,54.483221963024995,0.0,1.867321780639139,2.8899664462094163,0.12202948462409968,0.0
29,1.3181021822430263,54.63617848563244,0.0,1.86184681157861,2.78061386739488,0.34129168129135,0.0
30,1.3272191073000306,55.01408086024726,0.0,1.8371159575547107,2.5247424110989583,0.063384940139763,0.0
31,1.3359793428334223,55.3771982259769,0.0,1.7660091159440954,2.1518489481728653,0.06313140037920394,0.0
32,1.3345221562488092,55.31679691005744,0.12114508391425574,1.7772714121461008,1.9276198111548204,0.06287887477768712,0.0
33,1.3546026353597618,56.1491456122772,3.405079094209874,1.6870021392482561,1.8826480978251983,0.0,0.0
34,1.3528517293214648,56.07656943714548,9.022692349512408,1.4319296975930407,1.8874762203270417,0.0,0.0
35,1.3705188488061304,56.808882839319345,13.909915501619208,2.076724184920988,2.007258933179013,0.0,0.0
36,1.3713609150096795,56.84378702202507,16.878320036090127,2.511233605818407,2.4574074742690364,0.0,0.0
37,1.336139303715752,55.38382870685723,18.134273009239653,2.59302313497009,3.0575305006675593,2.7986687861073567,0.0
38,1.3333899628438857,55.26986676929522,16.54404288038226,2.712728329656679,3.870094289144017,5.887474110962927,0.0
39,1.336429219608168,55.395845906022245,12.865446830109448,2.8076967915723166,4.635335821606318,8.963924214519075,0.0
40,1.3382479558224598,55.47123368533177,8.294366110960317,2.808969695463694,4.601911299946705,9.669879145103994,0.0
41,1.348870457215796,55.911543162023904,3.115211622256545,2.8535398668351273,4.957904438224342,9.114859348690059,0.0
42,1.3906999109817964,57.64540077390239,0.13806220513858505,2.979620957368879,5.9860071235129135,6.103895001804803,0.0
43,1.4289825438628319,59.23224039162373,0.0,3.0807929748984404,6.90262382273768,3.0038950018048025,0.0
44,1.4213361178548884,58.91529114309411,0.0,3.1039224002613195,7.633369716359109,0.866878747465171,0.0
45,1.4111810318799307,58.49435633444327,0.0,2.9174017225922575,7.50965710649348,0.8634112324753103,0.0
46,1.4081236025451347,58.36762393304562,0.0,2.527353887540939,6.9713877741570105,0.859957587545409,0.0
47,1.440537340385419,59.711194097700535,0.0,2.3410657534097457,6.987976872476483,0.8565177571952273,0.0
48,1.4852989172732396,61.56659008830548,0.0,2.3742263619759267,8.11474828719994,0.0,0.0
49,1.413642358640019,58.596379902864044,0.0,2.737724542729618,9.769213950104719,0.0,0.0
50,1.3487804395990552,55.90781187423654,0.0,2.855120033417238,10.336369559592804,0.0,0.0
51,1.331602289046638,55.19576654703907,0.0,2.7635994400632145,10.342521258866089,0.0,0.0
