,fuel_cell,demand,Solar,Wind,off_wind,Pump,ESS,sess
1,1.5161003677526477,62.84332991066549,0.0,1.4557428004302337,4.1397281961891546,0.0,0.0,0.0
2,1.4458521833343991,59.93149773720249,0.0,1.4269096815977762,4.088964846150154,0.0,0.0,0.0
3,1.3916131883046936,57.68325670305029,0.0,1.4346497030106262,4.119521292627376,0.0,0.7176111428638161,0.0
4,1.3704366496208895,56.80547563051817,0.0,1.4752171910743623,4.230466711756225,0.0,0.6461273113455416,0.0
5,1.3658990010248973,56.61738719402546,0.0,1.5329955650846518,4.493986748327631,0.0,0.5038633701682452,0.0
6,1.3769117900664065,57.07387434335451,0.0,1.530964049064868,4.8001177912043484,0.0,0.16973845874070628,0.0
7,1.3821097791607897,57.28933431584602,0.0,1.445306275299698,4.980013634498601,0.0,0.0,0.0
8,1.3610164962070244,56.41500424657269,0.06481296752578289,1.3242244994332077,5.188439763524082,0.0,0.0,0.0
9,1.3392174413285787,55.511419479623825,1.9364404443992325,1.23652091651765,5.8189825384674325,0.0,0.0,0.0
10,1.3255231415912005,54.94378199691069,5.595041803297147,1.2646925067479875,6.744975805984466,0.0,0.0,0.0
11,1.325504546402764,54.94301121445688,9.50369178321434,1.6337854040851423,7.230536480489905,1.086766497091834,0.0,0.0
12,1.3151364609966478,54.51324744315436,12.225868189199772,2.3029330139095125,8.048956670835784,6.240000000000001,0.0,0.0
13,1.3041078237831796,54.05610337696144,12.459851111178143,2.770652225565324,8.298560242210646,11.440000000000001,0.7077463396047575,0.0
14,1.3053031985669876,54.10565242628797,11.201397437311202,3.1354614620121266,8.294779376177091,16.64,1.0717738142452389,0.0
15,1.3020175555559468,53.9694604220491,9.405715451354135,3.4004788755790427,8.410912053501491,16.64,6.909964932627395,0.0
16,1.2963952580709155,53.7364125953861,6.614440073083296,3.5829310782922943,8.515447252915576,16.64,10.789658498456685,0.0
17,1.3033528168709378,54.02480785756177,2.5868195633620714,3.7954850082994067,8.703817922266134,16.64,11.650483784077455,0.0
18,1.3647179952503325,56.5684337493222,0.14063372068633437,3.7873872708188427,9.288901051071623,16.64,10.72000670901091,0.0
19,1.4073903604557214,58.33723057947254,0.0,3.81167524638427,9.288901051071623,16.64,8.620949503669824,0.0
20,1.4050163042959014,58.238824433249405,0.0,3.824764269349073,9.288901051071623,16.64,7.362763193606219,0.0
21,1.4013112130002814,58.08524602934405,0.0,3.462436060632351,9.288901051071623,16.64,7.092365524530474,0.0
22,1.4047872453838175,58.22932979484206,0.0,3.349282800876218,9.288901051071623,16.64,6.559389424743091,0.0
23,1.4433008389575699,59.82574288099434,0.0,3.226433966070574,9.267588656148988,16.64,4.307757867941504,0.0
24,1.4694864565259769,60.91115347699941,0.0,3.0729393280399075,9.192434548563556,16.64,0.6841490635435088,0.0
25,1.3996091193316254,58.01469315815336,0.0,2.9196637323090755,9.101591819903739,16.64,0.0,0.0
26,1.3461519674520153,55.79886002262379,0.0,2.632200957835883,8.69087294540013,16.64,0.0,0.0
27,1.32943764006567,55.106040462311974,0.0,2.3340428533685387,7.7844774428454775,16.64,0.0,0.0
28,1.3144120938835304,54.483221963024995,0.0,1.9895468876721645,7.278494167396692,16.64,0.13269514425978005,0.0
29,1.3181021822430263,54.63617848563244,0.0,1.6865049571175708,6.450552285008222,16.64,0.0,0.0
30,1.3272191073000306,55.01408086024726,0.0,1.3721642440047102,5.4622647208906505,15.603545650188181,0.0,0.0
31,1.3359793428334223,55.3771982259769,0.0,1.1065282760851414,4.821367539987638,12.52306174182415,0.0,0.0
32,1.3345221562488092,55.31679691005744,0.1374322725985628,0.84530694019401,4.398509855598427,8.829396516396548,0.0,0.0
33,1.3546026353597618,56.1491456122772,3.8170462052934044,0.574581677349208,3.526108646575135,7.273692790171674,0.0,0.0
34,1.3528517293214648,56.07656943714548,9.879605479633135,0.37243071731557176,2.366499793314408,7.273692790171674,0.0,0.0
35,1.3705188488061304,56.808882839319345,14.503032894586626,0.23794736929693167,1.6988236524700473,9.591568613177177,0.0,0.0
36,1.3713609150096795,56.84378702202507,17.827854273643396,0.2011041047191862,1.5184166026984058,13.992321993648945,0.9892974976529176,0.0
37,1.336139303715752,55.38382870685723,18.9039083922825,0.21490630929707755,1.6335534784655523,15.56906559043827,7.1853403076623055,0.0
38,1.3333899628438857,55.26986676929522,18.052490078002105,0.2721412916817563,1.9126753567759267,16.64,13.356598946431657,0.0
39,1.336429219608168,55.395845906022245,14.362898511189515,0.34567307480921927,2.047953897905861,16.64,18.04735392201524,0.0
40,1.3382479558224598,55.47123368533177,8.530637865996765,0.3746478335641692,1.982558217474558,16.64,17.97516450632718,0.0
41,1.348870457215796,55.911543162023904,2.9962419104275115,0.380578841811122,1.7979349619574518,16.64,15.003745562109902,0.0
42,1.3906999109817964,57.64540077390239,0.13184691144058008,0.42362229607800567,1.5189802228164433,16.64,9.116325440242697,0.0
43,1.4289825438628319,59.23224039162373,0.0,0.44386949951020316,1.2912485957975066,16.64,3.7302750313361805,0.0
44,1.4213361178548884,58.91529114309411,0.0,0.46407086686201426,1.2253137370848182,16.64,0.0,0.0
45,1.4111810318799307,58.49435633444327,0.0,0.5249354672423857,1.3148834400170717,12.78115567110877,0.0,0.0
46,1.4081236025451347,58.36762393304562,0.0,0.6215057852741768,1.5149946892061985,9.474559685660765,0.0,0.0
47,1.440537340385419,59.711194097700535,0.0,0.796572967052264,1.9930600264353613,5.5100275267148575,0.0,0.0
48,1.4852989172732396,61.56659008830548,0.0,1.0368037359826565,2.736717940143829,0.41152458713193774,0.0,0.0
