,Ess,sess,ans1,ans2
1,0,0,0.028061978,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0.769660798,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0.058473078,0
16,0,0,0,0
17,0,0,0.058786297,0
18,0,0,0.275159394,0
19,0,0,0.0338782,0
20,0,0,0,0
21,0,0,0.162025883,0
22,0,0,0.196844043,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0.213595556,0
32,0,0,0,0
33,0,0,0.110912748,0
34,0,0,0,0
35,0,0,0.100367915,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0.809968018,0
39,0,0,10.31551997,0
40,0,0,0,0
41,0,0,0.063894635,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0.173151608,0
45,0,0,0.203193475,0
46,0,0,0.034777072,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0.066989819,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0.07268974,0
55,0,0,0.110729935,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0.328563173,0
60,0,0,0.052638273,0
61,0,0,0.312791927,0
62,0,0,0.309344582,0
63,0,0,0.084749432,0
64,0,0,0.161221329,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0.119340902,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0.121483338,0
71,0,0,0.173444144,0
72,0,0,0.032535648,0.095163408
73,0,0,0.004207259,0
74,0,0,0,0
75,0,0,0.155819011,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0.003186054,0
79,0,0,1.111878779,0
80,0,0,0,0
81,0,0,0.359788324,0
82,0,0,0,0
83,0,0,0.080568341,0
84,0,0,0,0
85,0,0,0,0
86,0,0,2.866518941,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0.230192915,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0.307457041,0
93,0,0,0.089312197,0
94,0,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0.265594493,0
98,0,0,0.890668307,0
99,0,0,0,0
100,0,0,0.59903954,0
101,0,0,0,0
102,0,0,0.065967438,0
103,0,0,1.208351582,0
104,0,0,0.206383447,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0.306392269,0
109,0,0,0,0
110,0,0,0.66083291,0
111,0,0,0,0
112,0,0,0,0
113,0,0,1.529859625,0
114,0,0,0.418590896,0
115,0,0,0,0
116,0,0,0.202131297,0
117,0,0,0.117055254,0
